ID	請問你是否支持烏克蘭去納粹化？	請問你是否支持俄羅斯侵略烏克蘭？ 	2022/3/3 全台灣大停電，你認為原因為何？	請問你最關注以下哪個議題？	請問你認為，烏國／俄國哪邊會贏得戰爭？贏家會獲得什麼？	請問你認為本國應如何改善硬體、軟體、或政策，使電力供應穩定？	請問你需要回家掃墓嗎？若需要，會掃哪些人的墓？如何進行？	請問你是否支持本國婚姻平權政策？能否簡述理由？	請問你疫苗完成注射幾劑？各選了哪些廠牌？	近來俄烏之戰的發展，最令你印象深刻的，是哪則新聞？ 	請問你晚上是否曾接到拜票來電（錄音）？你通常如何回應？	請問你認為謠言的組成為何？如何查證較有效？	請問你支持本國籍人士滿 18 歲即擁投票權嗎？	請問你有屯快篩試劑嗎？	你認同打疫苗、弊大於利的看法嗎？？	請問，你支持蔣家後代從政嗎？為什麼？	請問你認同何美鄕研究員的說法嗎（台灣去年超額死亡率為負）？為什麼？
P11	3.沒意見，雖然我覺得納粹是不好的，但是只要不做不好的事就沒關西。	5.非常反對，戰爭是不好的。	3.跳電，政府說什麼就什麼(應該吧)。	A: 烏俄戰爭，希望戰爭可以快快結束。	烏國，因為我覺得只要發動戰爭的那一方到最後一定會輸，因為世界上大部分的國家都不希望有戰爭的發生，只要各國持續經濟制裁，俄國就會支撐不住的。我覺得不管贏家是誰，他就只會獲得贏得這場戰爭的頭銜，就沒別了。而這場戰爭所造成的影響雙方都要花很久的時間才能夠恢復回來。	我覺得要多制定一些鼓勵節約能源的政策，讓大家一起接約用電，不要只想著多蓋一些電廠之類的，不管蓋哪種電廠，都是有很多不同的負面影響和風險。	需要，掃祖先的墓，我們家都是請別人先把我們的墓打掃好，我們在過去拜拜。	支持，我覺得我們不應該歧視任何人，每個人都有愛的權利。	三劑，AZ->AZ->莫德納	前幾天看到一個影片，一座大樓被飛彈轟炸而倒塌，令人怵目驚心。	有接過，如果是錄音的我會直接掛斷。	沒有經過查證的事情就跟別人說。 看到一則消息時，要自己去查證，不要馬上相信。	不支持。	沒有	不認同	沒意見，蔣家後代想不想從政是他的自由	不認同，我覺得超額死亡率和因為COVID-19而死亡是兩件不同的事。
P12	3.沒意見	5.非常反對	2.缺電	6.其他:中一中音樂老師爆走事件	我認為現階段烏克蘭較有機會贏得戰爭，而贏了則可向過繼世界證明並非大國就可以對其他國家為所欲為而不會踢鐵板。	蓋核五。	需要，會整個家族帶到公共的靈骨塔，大家先從最高樓層開始，拜共同的祖宗，在依序往下分頭找自己比家族的親人。	一半支持，我認為通婚法案可以往非專法的方向前進，以落實真正的婚姻平權。	兩劑 , AZ AZ	由於期中考週，最近較少關注。	無。	我認為最便利的方式自然是回到網路上搜尋，並多加查詢訊息來源及可信度。	支持。	否。	不認同，我認為定期接種疫苗可以保護自己且保護身邊的人。	我認為投身政治的條件與否在於他的個人能力，而非他的血統或是源自哪個政治背景。	我不認同，我認為這樣有些有一說一。利用過去台灣確診數所推出的死亡率與現在台灣疫情下的死亡率是不合理的，應該多提出更多論點來帶動群眾獨立思考，而不是一昧帶風向來操控聲量。
P13	1	5	2	4.HBL	烏克蘭，因為他們的人民比較團結，而且也有各國的幫助	台灣電力儲存的設備嚴重不足，所以導致很容易缺電或斷電，所以我認為應該提升硬體設備			兩劑摩德納，還沒預約第三劑	沒有特別印象深刻的地方	直接掛掉	因為很多人愛講幹話，也有笨蛋會相信，當個有腦袋的人就不會相信一些鬼話	不支持，因為我覺得很多人並不了解所有的情況	沒有囤貨			
P14	3. 沒意見	5. 非常反對	2. 缺電	4.HBL	兩敗俱傷，最好的結果就是不要牽動世界大戰	支持蓋核電廠，但不要重啟核四	需要，在彰化的公墓，只需上香即可	我支持同性婚姻，但認為政策有許多需要改進的地方	三劑，前兩劑Az，第三劑莫德納	沒有特別印象深刻的，很少在關注	沒接到	A:現今資訊流通快速，最大的謠言來自媒體，為吸引流量許多媒體會利用聳動標題吸引流量，然而，人云亦云、以訛傳訛，即會造成謠言的產生，應具備媒體識讀的能力，清楚了解新聞的事件本身並查證，仍有良心媒體及有效的邏輯思考能讓你辨別謠言與否。	不	無，只買了夠用的份量	不認同，現階段的研究顯示疫苗多打的病毒是有一定的對抗性，變種前的病毒現今已慢慢被控制，新型變種病毒擴散快但病症相較比較平緩，因此疫苗還是有其功效存在。	我認為人不能決定自己的出生背景，貧苦不能決定背痛不能決定；富貴也不能決定，優渥也不能決定，竟然如此他是不是蔣家後代就不重要了，那就是從更客觀的角度切入，他的經歷背景事蹟⋯等等。	認同！
P15	2 因為納粹的主意，會侵害其他族群，但是烏克蘭是否真的存在納粹化，是學生目前還無法確定的。	4 因為最終受害的都是無辜的人民，無論勝敗最終這些後果都是由雙方的人民來買單，至於選4不選5的原因為，如果是以非戰爭的形式，學生認為，成功與否就是由雙方的人民或是策略所決定的，而不是用人民的性命來換得。	2 因為目前還沒到夏季，還不是用電的高峰期，但最近卻有不少跳電或停電的事發生，學生認為可以使用其他的發電方式來補足台灣的供電需求。	1 烏俄之戰: 因為看到了最近新聞報導指出俄羅斯竟有7成人民支持出兵攻打烏克蘭，並認為是烏克蘭挑起戰爭的，因此擔心如果其戰勝了，會不會有其他國家複製這種方法洗腦人民支持戰爭。	學生認為俄國會贏得戰爭，如過俄國真的打下了烏克蘭，那他將有可能獲得烏克蘭的鋰礦資源，該礦物是製作電動車電池的重要原料之一。	學生認為可以利用增加發電廠數量，請專家評估是否能加蓋一座核能發電廠，因為以目前來看，學生認為火力發電汙染程度較高，風力發電及太陽能發電成本較高，經濟效益較高的可能是核電，但因其有一定的風險存在，可能需要一些警慎的評估。	不太會去 因為從小就很少去掃墓 所以家裡就沒有特別會去掃	支持，但如果對象的國家不認同的話，可能希望能有些配套且盡可能的不要去干預到他國的政策，以免不必要的誤會發生。	3劑 AZ跟莫德納	侵烏Day32 俄軍轉攻為守戰事恐長期化 原因 這篇是最近在做作業時看到比較有興趣的一篇，學生以為俄國不會轉為被動方，但最後因為氣候資源等影響，使其變得較為保守	目前沒有收到，如果有收到是錄音的會直接掛掉，是真人的話，會聽完跟他說加油。	以類似於現實的話術去扭曲事實，多看幾篇報導與查資料查證	不太支持，認為18歲可能相關議題的資訊收集不夠容易被誤導	買不到~~ 如果可以希望能買到兩支左右	不認同 畢竟目前來看疫苗有他的效益在 如果不打疫苗可能疫情會更加嚴重 且從數據來看 疫苗有他的保護力在	同意  有聽過蔣經國先生說過後代不從政 但我覺得台灣是民主的國家 加上是否真的有說過 學生我也不清楚 因此如果要從政 我覺得沒有太大的影響	死亡率的算法支持，但是每個人都應該要確診這句話，有點不太支持，畢竟家裡有人是只能打一劑的，因此會比較擔心狀況。
P16	3.沒意見	5.非常反對	2.缺電	1.烏俄大戰 4.HBL	俄國 得到賠款 割讓土地	硬體 別把錯都推給小動物	不需要	支持，但是不要裝扮得很奇怪	三劑 第一劑跟第二劑是AZ 第三劑是莫德納	烏克蘭老奶奶用石頭丟爆俄羅斯的無人機	沒接到 但是接到認識的候選人也滿少的 除非是市長什麼的	謠言由累積而組成	不贊同 高中是個讀書的佔比很重的階段 暫時不會有什麼時間去關心政治	沒囤	我不同意 醫學觀點打疫苗的確南澳減少中重症	我覺得要看是誰 蔣家後代可能也不想被貼標籤 但是黨產什麼的 跟連家一樣 大家都知道錢怎來的	不全然認同
P17	2 有點支持去納粹化(此題目隱含烏克蘭目前是納粹化)	4 有點反對	3 跳電(查詢新聞是說，「停電主要是興達電廠開關站發生事故，事故發生後就會影響到龍崎變電所運作，因為龍崎是與南部電廠有關係，所以造成停電」，在沒有其他證據說是停電的情況下我覺得應該先相信他們，但如果他們沒有盡快調查出證據，就會開始懷疑)	(6)全台大停電(與能源相關議題)，在上次的全臺停電之後，很多政治人物都在吵架，像是蔣萬安批評蘇貞昌。	我認為俄國會是烏俄戰爭的勝利方，這是因為在我印象中俄國原本就是蘇維埃聯邦的老大哥，而且他們在歷史上曾經和美國進行冷戰，在那段時間中開發了很多軍事方面的科技，加上他們給人戰鬥民族的印象，以及在寒天凍土中能夠生存的強勁生命力，相較於烏克蘭因為黑土肥沃而在農業上很發達的印象（通常在嚴酷的環境中成長的人會比較會戰鬥或生命力比較強），我覺得在政治上、技術上跟個體上應該都是俄國會贏。	我想不到有什麼方法可以增加供電，只知道哪些方法可以省電，所以我的建議就是可以「調整電費」減少人民對於用電的需求量，也可以參考美國的日光節約時間，讓人們早點睡覺就不會在晚上也用那麼多電。但以上都是民生用電的部分，其實用電最主要的應該還是產業，我認為如果真的有必要，其實應該要「限制某些高耗能產業」（像是製造業或是虛擬貨幣）的用電，儘管不能限制目前已經存在的科技業公司，但是可以去規範想要增加設廠的公司，如果他們「想要設廠、擴大經營就要繳更多稅」，或是「鼓勵他們去國外設廠」，不要在臺灣設廠，以避免增加耗電量，但是這會引起很多爭議，可能也會讓很多科技業的人放無薪假，關於這個部分可能還要多想想。在這個基礎之上，我其實無法理解近年來廣設智慧製造、半導體等產學合作系所的政策，因為臺灣在產業上的用電量，如果沒有意外，之後勢必會被限制，真的還需要這麼多人投入這些高耗能產業嗎？	不用，因為我需要趕快讀書跟考試，作業好難......，還有高微快要唸不完了。	我覺得目前的婚姻平權政策是可以被接受的。從這邊來看：「若該外國人的本國法未承認同性婚姻，因不具備其本國法的成立要件，與我國國民所締結的婚姻，即不被承認」，因為大致上是符合我心中的對國家主權的想像：應該要兩邊都符合要件才可以同意婚姻的存在，所以我覺得可以被同意。但其實我知道，我會對這個議題沒有那麼多想法的原因是因為我不是當事人。	沒打疫苗	我覺得俄烏之戰最讓我印象深刻的是跟黃金有關的心得，就是說黃金是避險用的工具，投資人會傾向購買黃金來分散風險。而我對這篇新聞比較有印象的原因是因為我有另外一堂課要我們關注黃金的價格波動。股神巴菲特說他人貪婪時我恐懼，他人恐懼時我貪婪，我覺得有印證在這件事情上，因為我發現有一些人會因為戰爭期間反而發了財，特別是那些平常就有買入黃金的人，這時候趕快賣出黃金就會賺很多錢，雖然烏俄戰爭是戰爭，卻也是某些人發財的緣由。	有，我會直接掛斷，因為我有很多事情要做，而且有時候我是在睡覺的時候接到電話，這令我非常煩躁。	俗話說三人成虎，我認為謠言的組成來自於謠言的內容本身，以及一開始說這句話的人，還有後續散佈這個謠言的人。我認為要查證一個謠言，最有效的方法是「由專業的人員直接去調查謠言內容本身的標的物（或人）」，例如聽說某某食品有某種良效，最有效的方法就是請專業的營養師或醫師等專業人員，去調查這個食品的營養成分還有功效，但這種方法僅僅是從有效的角度切入，如果是像一些和個人的隱私有關的謠言，那或許不應該只考慮有效性，例如某謠言謠傳某藝人和其他人有染，這種關於該藝人以及其交友狀況的謠言是攸關他的個人隱私，直接向對方詢問可能造成他/她的不舒服。	我認為沒有足夠的證據或理由，足以支持本國籍人士滿 18 歲即擁投票權的正當及合法性。我認為 18 歲是在刑法的成年範圍，但關於民法則是 20 歲，因此我覺得 18 歲～20 歲不一定是適合做出各種民法範圍的事情的人，他們也許不夠成熟。	之前一次買了五個，超貴的，但後來發現要排隊才能買得到，就覺得幸好有買。	我不認同，因為打疫苗應該有助於防重症，這樣可以有助於減緩醫療量能崩潰。	不能算是支持，因為我覺得臺灣的人才輩出，不覺得一定要支持蔣家從政，但我認為蔣萬安想要從政是他的選擇，一個人只要是合法的公民，都應該有參政的權利，只要他有他的支持者，不應該因為他的祖先是誰，而剝奪了他想要參政的權利。	我不認同何研究員的看法，因為任何一位確診陽性的人如果出門，都有極高的機會感染到其他人，而被感染到的人之中就有會死亡或是留下後遺症的人，但她卻覺得這是一條必經之路，完全沒有為「會因感染病毒而產生悲劇的人」著想，這樣是非常不被人們接受的。
P18	3	4	3	5（チェリまほ，我也是小粉絲！）	烏克蘭。烏克蘭可能獲得歐美先進國家的更多關注，以及安保、外交上的協助（儘管可能有許多交換條件）。	去年8/15的停電也是出在南部供電系統，政府應該仔細調查為何會接連出現問題並改善。	需要。曾祖父祖母的墓，爸媽兩邊的都要。	支持。結婚制度本來就不是自然界（生物學上）的產物，而是人類社會文化下訂立的制度，所以每個人都有權利選擇和自己喜歡的人在一起，而且同性婚姻並不會造成其他人的權益受損，所以我支持。	3劑，前兩劑AZ，最後一劑莫德納。	芬蘭和瑞典可能於今年夏天加入北約，可見世界各國對於烏俄之戰的嚴肅對應程度。	有，我會直接掛掉，因為通常都沒有時間理他。	我認為謠言在內容方面，敘述風格不會過度誇張，並參雜一些事實，引導人們相信那些邏輯的漏洞。如果遇到好像是謠言的新聞，可以透過「比對不同管道的多則新聞」來查證。	支持。應該讓年輕人掌握自己的未來，建立適合他們生活的社會，不應該只聽取過去的人的意見。	沒有屯。而且目前沒有做過快篩。	依據衛福部的資料，打疫苗但因不良反應死亡的人數為1465人，除上12歲以上可打疫苗的人口2098,7393人，死亡率為0.0070%。而根據林氏璧醫師的資料，未施打疫苗而確診身亡的機率為0.0027%，已打一劑以上的疫苗（含一劑）但確診身亡的機率為0.0006%(117/1948,2724)，可見打疫苗死亡的機率雖然較未打疫苗染疫身亡的機率高，但若挺過（？）副作用的考驗，因染疫而死亡的機率就會大幅降低。	如果蔣家後代有能力解決人民的問題，我會支持。（我想這是政治人物的基本）	我同意確診但無症狀不須採檢。因為醫療量能已經吃緊，應該盡量留給重症患者使用。大家關注的焦點應該致力於超額死亡率，而非確診數。
P19	3. 沒意見（我覺得無法回答這個問題。因為我並非烏克蘭人，也不清楚烏克蘭實際上的情況，我不確定烏克蘭目前是否有納粹化的情形，因此無法表達是否支持。）	5. 非常反對（我非常反對這次普丁侵略烏克蘭的行為，我認為這次戰爭對俄國和烏克蘭的人民而言都是嚴重的傷害。）	3. 跳電	烏俄之戰，因為牽扯到許多方面的事。（股票、供應鏈、外交狀況等）	原本我認為俄國會贏得戰爭，但現在戰況陷入膠著，就不確定最後哪方會贏得戰爭。我認為贏家主要會獲得心理及民族精神方面的榮譽。	想辦法建設發電廠，可以考量各種發電方法（太陽能、風力、核能等）	會回家但不會掃墓，印象中只有小時候掃過一次，不過忘記是誰的墓了。	支持，因為我覺得同婚是某些族群的權利，只限制異性才能結婚很莫名其妙，也對同志族群不公平。	打了三劑疫苗，分別是BNT、BNT、莫德納。	印象最深刻的是烏俄戰爭有可能升級成美國或北約組織對俄羅斯的軍事衝突，感覺有越來越擴張的趨勢，希望可以快點結束戰爭，不要變成世界大戰。	沒有接過，可能是因為比較少接家裡的電話。	我認為謠言是不正確的資訊，但是一直被大家傳遞，因此可能讓人不知道是真是假，像是Line常常會有謠言，我都直接估狗搜尋關鍵字，常常已經有新聞證實是假消息了。	我對這個議題沒有特別支持或不支持，可能是因為我現在不是18歲的族群，所以沒有特別支持，不過我也不反對18歲擁有投票權。	有買過一次，但沒有囤貨，之前覺得還不需要，但現在很多人都在存，感覺有點被影響到。	不認同，可能是因為我對疫苗沒有嚴重的副作用，所以覺得能降低重症機率比較重要。	沒有特別支持或不支持，因為對我來說蔣家的所為已經是很久以前的歷史了，現在沒什麼特別偏好。	我滿認同的，因為以目前的情況來看，很難完全不得到新冠，所以得了但無症狀算比較好的情況了。
P20	3. 沒意見，所以烏克蘭有納粹化嗎?	4.有點反對，畢竟發動戰爭苦到的是人民，也會讓地區經濟與基礎建設因此退步，但普丁有其出兵的理由，我也很難判定誰一定是對的，誰又一定是錯的。	3. 應是人為疏失後造成的跳電		我認為俄羅斯會贏得戰爭，但是他只會獲得佔領的土地；反而烏克蘭會獲得其他民眾的掌聲，以及其他國家的善意對待。	我認為本國應使電力價格提高，可以使得民眾自行減少使用電力，或是可以像電信公司一樣，每戶限電多少，依照電力使用量階梯式提高價格	不會回家掃墓，因為連假才會回家，但是家人基本上會提早掃墓。主要會去掃阿祖的墳墓(鋤草、擺放新的金紙、蓋房子)，然後會去靈骨塔祭拜一下阿公	是，我認為每個人都有選擇與成為自己所愛的人的配偶的自由與權利	目前完成兩劑BNT疫苗注射	各國聯合起來針對俄國進行經濟制裁，但盧布並沒有快速下跌，因為俄國宣布只能用盧布支付天然氣進口費用等	沒有，上一次選舉的時候我還沒滿20歲，所以之前都直接掛掉，而現在我會跟他說我不知道你說的是誰	我覺得老師講的很有道理，謠言如果要能夠讓別人相信，其中一定半真半假。要如何查證的話，除了找出謠言的來源以外，也可以去詢問身邊有相關知識或背景的專業人士求證。	"我覺得要投票，本身一定要有一定的知識水平以及判斷是非標準的一套原則，以及具備批判性思考，
20歲以上不管是經過社會歷練或是經過一定程度的大學生活(類社會)，我覺得才有相當足夠的判斷力做決策。
而且，18歲雖然也算是成年了，但心智上的發展還有待審慎評估，包含18歲可以喝酒又可以騎車，是不是有些剛成年的少男少女就開始酒駕耍酷等等，雖然這有可能是杞人憂天，但一次開放太多事情在滿18歲的孩子身上，是不是會有種種問題的產生，就要交由政府自行評斷了"	沒有，沒有特別去買，希望不會用到	不同意，我認為疫苗本身在研發過程中可能沒有經過適當的測試，雖然大家都說打疫苗可以降低中重症，但仍然無可避免，這是打疫苗的弊端；但就數字上來看，的確有助於降低致死率及中重症的發生，這是打疫苗的利端；然而，我認為以上兩種結論不能混為一談，打疫苗有利有弊，但不代表某一種一定凌駕於另一種看法。	我覺得蔣經國先生有沒有講過這句話不是重點吧? 重點是有沒有能力跟有沒有心(或者良心)去為民服務!而且蔣家後代想不想從政，其實我覺得無所謂啦哈哈哈	我覺得她說的其實蠻合理的，其中有一點關於無症狀感染者不用列舉出來，我覺得不然，我還是認為要列出數字，但是可以另外統計之類的，這樣也有助於大眾認知或統計群體免疫的數字；那超額致死這件事，顯然covid-19對於大眾的衛生防護知識的提升與死亡率的下降，其實是有幫助的，至於超額致死率的統計，我也認為應當是正確的，只是目前因打疫苗而死亡的案例不知道有無計算進去......，不知道國家或研究院有沒有針對這件事有進一步的看法或解釋......
P21	1	4	2	1. 烏俄之戰	俄國，共產勢力擴張	增加綠能建設。	沒有	支持。他們要跟誰結婚不關我的事。	2劑，BNT	https://udn.com/news/story/122699/6229534	否			沒有屯快篩試劑	不同意，但我度苗沒有太多了解，所以也不太確定。	沒什麼感覺，大家都可以從政	認同。感覺上，不太確定，大家各自有說法。
P22	3沒意見（應由烏克蘭的人民自決，並且我不在乎烏克蘭是否去納粹化，但他們做決定應考慮之後的結果）	5非常反對（我認為國家間的衝突能不以軍事衝突的話最好）	2缺電（跳電後數小時仍有多數用戶等不到電，是為缺電）	1.3.（烏俄、韓國總統大選）	俄國贏，我認為戰爭最後以協議達成告終，俄國將獲得由烏國內分裂的國家的支持	增加火力、核能機組，作為基載發電。彌補因電力不足導致的長期降壓，可以增加供電穩定性。	需要、祖先、聽長輩吩咐	支持，我沒有理由阻止他人結婚	兩劑，都是BNT	波羅的海三小國研議禁止進口俄天然氣	沒接過，但我應該會傾向表達不傾向任何投票傾向	半真半假，或把猜測直接說是確定的。尋找其相關資訊，確保其中有可靠來源，如各大報	不支持，我覺得我國義務教育有點失敗 （-_-）	實名制買了，剛好被匡列有用到	不認同，因為要考慮的是打與不打疫苗對於染疫死亡的影響。	只要是通過民主程序出來的，我不會反對他姓不姓蔣。	我不太認同，既然這條路要有過路費，為什麼不選擇其他路走。何況對於新冠的後遺症仍在研究當中，相當於是簽了一個你看不明白的合約。
P23	3. 我認為烏克蘭是否去納粹化和他們的民族性有關，並不是外人可以說支持或者反對的，但是我很清楚一件事，那就是我們都應該支持和平，反對戰爭。	5. 我非常反對戰爭，我認為戰爭只不過是幾個政界大老的鬥爭，卻要犧牲無辜的百姓，是非常自私且不理性的手段	4. 我認為這次的停電應該是機器故障並不是缺電造成的，因為若是真的缺電，應該不至於連紅綠燈都沒電，不過台灣缺電也是事實，能源問題迫在眉睫，就算這次真的是故障，再不久也會真的停電。	我比較關注俄烏戰爭跟HBL，我認為戰爭這種事情不單單只是兩國之間的問題，所以關注戰爭的狀況是必要的，至於HBL，我很討厭南山的教練，他們輸球我很開心	我認為戰爭沒有所謂的輸贏，只要發生戰爭，大家都是輸家，只是再比較誰的損失比較多而已，所以不要發生戰爭，透過和平的方式解決問題才是好的方法。	我認為必須要有一個長期計劃去規劃和解決能源的問題，執政黨不能只是為了選票用敷衍的方式來呼攏人民。	由於清明廉價掃墓的人往往過多，因此我們家都會提前掃，而我們家的祖先都在同一個地方，因此掃墓是祭拜所有的祖先。	不支持，我認為同性結婚應該要有一些配套措施，例如領養小孩等等，雖然我對於同性戀並沒有意見，但我認為婚姻牽扯的問題很多，包括財產還有家族，因此若是沒有配套法案直接開放，我認為是不妥當的。	目前打了兩技，都是施打bnt。	烏俄戰爭發生至今我最印象深刻的事情是台灣人對戰爭的態度，雖然常常看到instagram上會有分享一些反戰的文章，但大家似乎沒有意識到台灣其實也是可能發生戰爭的國家，並且我認為只是呼籲和平理性並不是解決戰爭發生的辦法，必須要強化我國的硬實力才有可能避免戰爭發生的問題。	沒有 因為我有安裝whoscall如果是拜票來電我會掛掉	我認為謠言的組成就是半真半假的資訊，要有效查證其實很困難，但大部分的事情就算不有效查證也步會怎樣	不支持，雖然我認為在民主自由的國家每個人都有表達自己意見的權利，但是我認為對於大部分的高中生來說，並沒有成熟的獨立思考能力，很容易被媒體或同儕帶風向。	沒有 自己也不太會用	我認為疫苗的弊端並不該只著眼於現在，因為據我所知，我們現在施打的所有種類新冠疫苗都是趕鴨子上架的產品，並沒有經過完整的臨床實驗，所以也許現在看起來沒事，但未來幾年也許會有其他副作用發生，因此我認為只談死亡人數並不是唯一一個判斷標準。	都可以，我認為所有人都有從政的權利，重點是有沒有在做事	同意，我認為她說沒有症狀的人是黑數這個觀點是確的
P24	2	5	4. 無法預期的工程疏失	1.烏俄之戰	烏克蘭，因為世界趨勢應該會譴責主動發動戰爭的一方，雖然烏克蘭與俄國的損失都會非常嚴重	研定更長期發電設施的規劃，譬如說 核能或地熱，並且以長期使用及發展的目的增加該設施需要的硬體，以及鼓勵及規劃該設施應該要有的人才培養	會回家掃墓，只會掃爸爸這邊阿公 啊罵 啊祖的墓	不反對，因為不會礙到我	疫苗打了兩劑BNT	奧地利總理11日將在莫斯科會見俄羅斯總統普丁，成為俄軍入侵烏克蘭以來，首位與普丁會面的歐洲領導人。	沒有，如果我接到都直接掛掉	我覺得只要是無法有證據之言論，都可以稱作為謠言	不支持本國人士滿18歲投票，因為就我個人經驗而言在18歲的年紀在學業上就已經忙得焦頭爛額，更遑論關注社會議題	沒買	打疫苗還是有較高的病毒抵抗力，相對於不打	沒意見，由正當的民選程序選出的都可以	不認同，我覺得人民的感受可能會比數字更重要
P25	3. 沒意見	4. 有點反對	3. 跳電	HBL 是我最在乎的議題，因為我本身喜歡看籃球，頻時就會看NBA。	俄國會獲得勝利，但是在慘痛的代價中只獲得領土，人心並未獲得	因增加用電的費用，並限企業在用電的規定	我不需要回家掃墓。	我支持婚姻平權，因為男女都是人，沒有人可以要特別的權利，應該一律平等。	三劑BNT	俄國士兵非禮烏克蘭母女	沒有接到電話	我對這個謠言沒有甚麼研究，不太知道這個議題。	不支持，因為18歲只是高中畢業，並沒有經過社會歷練。	我沒有買任何快篩試劑，因為我自己一個人住。	認同，因為打疫苗是共存的必要條件	不支持，我支持不一樣黨派	不知道她是誰
P26	3. 沒意見：西方國家的「納粹」，與俄羅斯語境下的「納粹」，含義並不相同。前者側重強調以反猶為代表的極端民族主義；後者則長期渲染蘇聯打敗德國法西斯的那場「偉大的衛國戰爭」，從而不斷強化納粹就是俄羅斯對立面的敘事。因此，這個題目的定義不夠明確。	5. 非常反對：不應該使用戰爭來解決問題，戰爭造成平民百姓傷亡，也不一定能達成俄國的目標。	4. 其他：我認為單純是事故原因，台灣的供電電網因為南電北送的關係，有頭重腳輕的狀況，才會造成南部一停機，連帶影響北部供電。	烏俄之戰（關注造成的能源短缺問題）	我認為俄國會贏得戰爭，贏家莪國會「收復」烏克蘭。	硬體部分我認為可以考慮核能發電，或是增強技術考慮使用自然資源發電，像是太陽能發電或是水力發電。	不用掃墓	支持，因為同性伴侶也應該享有與異性伴侶相同的結婚權利。			沒有接過。	以訛傳訛，上網查證，理性思辨。	否，年紀太小較不會思辯。	沒有 我搶不到	不予置評 看個人選擇	yes 個人自由	是 蠻有邏輯
P27	(3)沒意見	(5)非常反對	(3)跳電	(1)烏俄之戰	我認為俄國會贏的戰爭，但是是談判桌上的勝利。會贏的領土以及文化的利益。	夏日節電政策要落實，電力大戶要多查核，老舊的台電設備應汰換。	會，在靈骨塔中用祭拜的方式就行。	支持，身邊認識很多同志朋友，想法開放，沒有任何不能贊同的地方	打了三劑，高端以及莫德納	布查的大屠殺	有，我都直接掛掉	我認為謠言是由許多嘴巴組成的，我會尋求相關專業求證，而不是依賴多數的聲音。	我不贊同，我認為會產生許多為了投票而投票且社會觀念不足的年輕人。	有，爆發前就有了	我不認同，我覺得利大於弊，利在於大數據顯示打過疫苗是真的會降低副作用或者後遺症，雖然弊是可能會產生疫苗不良反應，但我覺得肺炎帶來的傷害較深。	我支持蔣家後代從政，畢竟老一輩的事情年輕人可以選擇要不要背負，當政客我覺得個人能力出色即可。	我不太贊同，我不太相信台灣的醫療量能可以控制死亡人數，老實說我覺得台灣的政客都是先斬後奏。
P28	3	5	3	1烏俄大戰	烏克蘭，加深世界對共產、獨裁體制的抨擊，希望世界和平的意識提升。	實施企業、民間建築必須增設一定面積太陽能發電版的政策。	不需要	是	1劑 BNT	俄羅斯麥當勞關閉	有 直接掛掉	謠言起於人群 止於智者	支持	沒有	但三劑者中證率較高是因為分母比較多，所以不能以這個判斷，或許疫苗幾年後會有後遺症也說不定，但目前應該是利大於弊	不反對 因為台灣是民主國家	不同意 或許只是人類還不知道確診的後遺症的嚴重性
P29	3	4	3	1.烏俄之戰	俄國，只會獲得其他國家的不支持以及戰後的損失	啟用核能發電，以解決電力不足問題	需要，祖先的，全家開車去靈骨塔拜拜	支持，人人平等	兩劑，BNT	烏俄談判	在宿舍有接到過，直接掛斷	我認為謠言是因為大量未去查證就散播的人才產生的。至於如何查證謠言，我覺得看到消息要先冷靜想想，並且試著找尋可靠的資料作證明。	支持	目前沒有屯	不認同	都可以，我認為要做什麼是他們的自由	不同意，感染並不代表免疫
